"code","name","category","sub_category","sub_category2"
"8853474057559","มายช้อยส์ไข่ไก่สดออร์แกนิคแพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474009695","ท็อปส์ไข่ไก่เบอร์2 แพค 12ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474040667","ท็อปส์ไข่ไก่สดเบอร์0 แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294089564","เบทาโกรไข่ไก่เคจฟรีแพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294055101","เบทาโกรไข่ไก่เบอร์ 2 แพค 30ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474054107","ท็อปส์ไข่ไก่สดเบอร์2 แพค 30ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294055026","เบทาโกรไข่ไก่เบอร์0 แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294057280","เอสเพียวไข่ไก่แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474063031","มายช้อยส์ไข่ไก่สดจากไก่ปล่อยอิสระแพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294055040","เบทาโกรไข่ไก่เบอร์1 แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474057566","ท็อปส์ไข่ไก่เบอร์1แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474057542","ถูกใจไข่ไก่สดคละขนาดแพค 30ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8852043354488","เอสเพียวไข่ไก่ขนาดกลาง แพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8856294088338","เบทาโกรไข่ไก่จากแม่ไก่สาวแพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474014422","ท็อปส์ไข่เค็ม แพค 4ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8859226200105","ฮิลไทรบ์ไข่ไก่ออร์แกนิคขนาดใหญ่แพค 6ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8859336700014","เอททีเอทไข่ขาวต้มพร้อมทาน 100กรัม","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8857124585089","สิรินทร์ฟาร์มไข่ไก่ปลอดสารแพค 10ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8852043354471","เอสเพียวไข่ไก่จัมโบ้ แพค 6ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"8853474061181","ท็อปส์ไข่นกกระทาสดแพค 30ฟอง","อาหารสดและเบเกอรี่","ไข่","ไข่สด"
"0000024971386","มายช้อยส์พายไก่ซอสขาว","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000024947954","มายช้อยส์ขนมปังชิกเก้นแฟรงค์เฟริทโรล","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850231000254","เอส&พีเค้กแช่แข็งรสเนยสด 300กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110436","ฟาร์มเฮ้าส์ขนมปังโฮลวีต 500กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0209200036912","มายช้อยส์ขนมปังแฟรงค์เฟิร์ทโรล","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850231000261","เอส&พีเค้กแช่แข็งช็อกมาร์เบิ้ล 300กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0209200036950","มายช้อยส์ขนมปังชีสแฟรงค์เฟิร์ท","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110108","ฟาร์มเฮ้าส์ขนมปังแซนวิช 480กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0209200035960","มายช้อยส์เดนิชเพสตรี้ลูกเกด","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100045","คิวบิคขนมปังแซนด์วิชโฮลวีตรสดั้งเดิม 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123111204","ฟาร์มเฮ้าส์ขนมปังรอยัลธัญพืช 12ชนิด 285กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110412","ฟาร์มเฮ้าส์ขนมปังโฮลวีต 250กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123111006","ฟาร์มเฮาส์รอยัลเบรดขนมปังชนิดแผ่นเนื้อนุ่มสไลด์หนา 275กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110146","ฟาร์มเฮ้าส์ขนมปังแซนวิชสไลด์ขอบ 220กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000048239028","ครูสมทรงขนมเปี๊ยะ","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000020907518","มายช้อยส์ขนมปังชิกเก้นชีส","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100137","คิวบิกขนมปังโฮลวีตธัญพืช 19ชนิด 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123111105","ฟาร์มเฮ้าส์รอยัลขนมปังโฮลวีตเนื้อนุ่มสไลด์หนา 285กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000024971379","มายช้อยส์พายเผือก","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100014","คิวบิคขนมปังโฮลวีตรสดั้งเดิม 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110443","ฟาร์มเฮ้าส์ขนมปังโฮลวีตชนิดเนื้อละเอียด 250กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8850123110535","ฟาร์มเฮ้าส์ขนมปังกลิ่นนมฮอกไกโด 240กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000024949804","มายช้อยส์ขนมปังเซียบัททา","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100144","คิวบิกขนมปังแซนด์วิชโฮลวีตธัญพืช 19ชนิด 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100021","คิวบิคขนมปังโฮลวีตผสมธัญพืช 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"0000024940993","มายช้อยส์ขนมปังมัลติเกรนบาร์เก็ต","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
"8858894100038","คิวบิคขนมปังโฮลวีตผสมเมล็ดลินินและข้าวโอ๊ตออร์แกนิค 360 กรัม","อาหารสดและเบเกอรี่","เบเกอรี่","ขนมปังแผ่น"
